iter	Passed	Remaining
768	19575	5880
769	19597	5853
770	19622	5828
771	19645	5801
772	19671	5776
773	19696	5751
774	19721	5725
775	19743	5699
776	19766	5672
777	19787	5646
778	19816	5621
779	19838	5595
780	19861	5569
781	19882	5542
782	19905	5516
783	19927	5490
784	19951	5464
785	19978	5439
786	20012	5416
787	20033	5389
788	20056	5363
789	20080	5337
790	20101	5311
791	20123	5284
792	20146	5258
793	20171	5233
794	20194	5207
795	20218	5181
796	20241	5155
797	20264	5129
798	20289	5104
799	20313	5078
800	20350	5055
801	20372	5029
802	20395	5003
803	20418	4977
804	20440	4951
805	20466	4926
806	20488	4900
807	20510	4873
808	20532	4847
809	20554	4821
810	20576	4795
811	20598	4769
812	20620	4742
813	20644	4717
814	20666	4691
815	20690	4665
816	20712	4639
817	20737	4613
818	20766	4589
819	20790	4563
820	20815	4538
821	20836	4512
822	20858	4485
823	20880	4459
824	20902	4433
825	20924	4407
826	20948	4382
827	20974	4357
828	21000	4331
829	21026	4306
830	21049	4280
831	21075	4255
832	21098	4229
833	21124	4204
834	21148	4179
835	21175	4154
836	21199	4128
837	21225	4103
838	21250	4077
839	21274	4052
840	21299	4026
841	21323	4001
842	21345	3975
843	21366	3949
844	21390	3923
845	21413	3897
846	21434	3871
847	21459	3846
848	21481	3820
849	21504	3794
850	21525	3768
851	21547	3743
852	21571	3717
853	21596	3692
854	21617	3666
855	21641	3640
856	21663	3614
857	21685	3588
858	21710	3563
859	21733	3538
860	21755	3512
861	21783	3487
862	21807	3461
863	21831	3436
864	21856	3411
865	21883	3386
866	21907	3360
867	21931	3335
868	21958	3310
869	21985	3285
870	22010	3259
871	22035	3234
872	22059	3209
873	22086	3184
874	22112	3158
875	22138	3133
876	22160	3108
877	22199	3084
878	22222	3059
879	22248	3033
880	22272	3008
881	22294	2982
882	22315	2956
883	22339	2931
884	22365	2906
885	22391	2881
886	22415	2855
887	22438	2830
888	22463	2804
889	22486	2779
890	22511	2753
891	22535	2728
892	22560	2703
893	22585	2677
894	22608	2652
895	22635	2627
896	22659	2601
897	22683	2576
898	22707	2551
899	22735	2526
900	22770	2501
901	22795	2476
902	22823	2451
903	22854	2427
904	22878	2401
905	22901	2376
906	22930	2351
907	22955	2325
908	22982	2300
909	23007	2275
910	23032	2250
911	23057	2224
912	23084	2199
913	23112	2174
914	23137	2149
915	23162	2124
916	23187	2098
917	23211	2073
918	23239	2048
919	23267	2023
920	23291	1997
921	23314	1972
922	23341	1947
923	23368	1922
